model,Descriptor,Enzyme,scaler,split,Accuracy,criterion,n_estimators,Category,Enzyme x Descriptor
rfc,ECFP4,HIV-1 IN,minmax,2,0.9612436115843273,gini,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,2,0.9608177172061328,gini,2000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,2,0.9633730834752982,entropy,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,2,0.9625212947189096,entropy,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,2,0.962947189097104,entropy,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,2,0.962947189097104,entropy,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,2,0.962947189097104,entropy,2000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9676320272572402,gini,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.967206132879046,gini,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9689097103918228,gini,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9676320272572402,gini,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9676320272572402,gini,2000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9667802385008518,entropy,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9680579216354344,entropy,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9676320272572402,entropy,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.9676320272572402,entropy,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,3,0.967206132879046,entropy,2000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.954855195911414,gini,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9540034071550256,gini,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9544293015332198,gini,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9540034071550256,gini,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9540034071550256,gini,2000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9557069846678024,entropy,100,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9544293015332198,entropy,500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9544293015332198,entropy,1000,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.9544293015332198,entropy,1500,A,HIV-1 IN x ECFP4
rfc,ECFP4,HIV-1 IN,minmax,4,0.954855195911414,entropy,2000,A,HIV-1 IN x ECFP4
rfc,MIX,HIV-1 IN,std,1,0.959114139693356,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9620954003407156,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9620954003407156,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9625212947189096,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9620954003407156,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9612436115843273,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9620954003407156,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9616695059625212,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.962947189097104,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,1,0.9625212947189096,entropy,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9561328790459966,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.956984667802385,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9574105621805792,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9574105621805792,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9565587734241908,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9561328790459966,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9565587734241908,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.956984667802385,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9561328790459966,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,2,0.9565587734241908,entropy,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9620954003407156,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9599659284497444,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9603918228279388,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9599659284497444,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9599659284497444,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9595400340715504,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9599659284497444,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.959114139693356,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9595400340715504,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,3,0.9603918228279388,entropy,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9646507666098808,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9667802385008518,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9676320272572402,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9676320272572402,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9676320272572402,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9616695059625212,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9642248722316864,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9663543441226576,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9659284497444632,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,std,4,0.9663543441226576,entropy,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9586882453151618,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9620954003407156,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9616695059625212,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9625212947189096,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9620954003407156,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9608177172061328,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9625212947189096,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9616695059625212,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.962947189097104,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,1,0.9620954003407156,entropy,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9557069846678024,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9565587734241908,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.956984667802385,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9574105621805792,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9565587734241908,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9561328790459966,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9565587734241908,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.956984667802385,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9565587734241908,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,2,0.9565587734241908,entropy,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9625212947189096,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9599659284497444,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9603918228279388,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9603918228279388,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9599659284497444,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9595400340715504,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.959114139693356,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.959114139693356,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9595400340715504,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,3,0.9603918228279388,entropy,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9646507666098808,gini,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9676320272572402,gini,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9676320272572402,gini,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9680579216354344,gini,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9676320272572402,gini,2000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.962947189097104,entropy,100,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9646507666098808,entropy,500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9663543441226576,entropy,1000,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9659284497444632,entropy,1500,A,HIV-1 IN x MIX
rfc,MIX,HIV-1 IN,minmax,4,0.9663543441226576,entropy,2000,A,HIV-1 IN x MIX
rfc,PC,HIV-1 PR,std,1,0.9821169647172548,gini,100,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9821169647172548,gini,500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9821169647172548,gini,1000,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9821169647172548,gini,1500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9821169647172548,gini,2000,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9826002899951668,entropy,100,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9830836152730787,entropy,500,A,HIV-1 PR x PC
rfc,PC,HIV-1 PR,std,1,0.9830836152730787,entropy,1000,A,HIV-1 PR x PC
