model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
knn,PR,MIX,minmax,3,6-distance-auto,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,3,6-distance-auto,validation,0.9496221662468514,0.9792207792207792,0.932367149758454,0.9641943734015346,0.644782803403493,0.3724402648713807,3,2
knn,PR,MIX,minmax,3,6-distance-auto,test,0.9465648854961832,0.9789473684210528,0.929951690821256,0.96248382923674,0.6806501547987616,0.4520574886050514,3,3
knn,PR,MIX,minmax,4,6-distance-auto,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,4,6-distance-auto,validation,0.9596977329974812,0.9921875,0.953995157384988,0.9756722151088348,0.7202316810344828,0.5832022030634864,3,2
knn,PR,MIX,minmax,4,6-distance-auto,test,0.9655172413793104,0.9578947368421052,0.929951690821256,0.9616908850726552,0.7877708978328173,0.5539066601724139,3,3
knn,PR,MIX,minmax,1,6-distance-ball_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,1,6-distance-ball_tree,validation,0.9671717171717172,0.9948051948051948,0.9637681159420288,0.9807938540332908,0.7732646663681146,0.6840045554030141,3,2
knn,PR,MIX,minmax,1,6-distance-ball_tree,test,0.9711286089238844,0.9736842105263158,0.9492753623188406,0.9724047306176083,0.825077399380805,0.6590654896299866,3,3
knn,PR,MIX,minmax,2,6-distance-ball_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,2,6-distance-ball_tree,validation,0.9528535980148884,0.9974025974025974,0.9516908212560388,0.9746192893401016,0.671115091804747,0.5431237675963112,3,2
knn,PR,MIX,minmax,2,6-distance-ball_tree,test,0.9814814814814816,0.9763157894736842,0.961352657004831,0.978891820580475,0.8852167182662539,0.7507048631370837,3,3
knn,PR,MIX,minmax,3,6-distance-ball_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,3,6-distance-ball_tree,validation,0.9496221662468514,0.9792207792207792,0.932367149758454,0.9641943734015346,0.644782803403493,0.3724402648713807,3,2
knn,PR,MIX,minmax,3,6-distance-ball_tree,test,0.9465648854961832,0.9789473684210528,0.929951690821256,0.96248382923674,0.6806501547987616,0.4520574886050514,3,3
knn,PR,MIX,minmax,4,6-distance-ball_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,4,6-distance-ball_tree,validation,0.9596977329974812,0.9921875,0.953995157384988,0.9756722151088348,0.7202316810344828,0.5832022030634864,3,2
knn,PR,MIX,minmax,4,6-distance-ball_tree,test,0.9655172413793104,0.9578947368421052,0.929951690821256,0.9616908850726552,0.7877708978328173,0.5539066601724139,3,3
knn,PR,MIX,minmax,1,6-distance-brute,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,1,6-distance-brute,validation,0.9671717171717172,0.9948051948051948,0.9637681159420288,0.9807938540332908,0.7732646663681146,0.6840045554030141,3,2
knn,PR,MIX,minmax,1,6-distance-brute,test,0.9711286089238844,0.9736842105263158,0.9492753623188406,0.9724047306176083,0.825077399380805,0.6590654896299866,3,3
knn,PR,MIX,minmax,2,6-distance-brute,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,2,6-distance-brute,validation,0.9528535980148884,0.9974025974025974,0.9516908212560388,0.9746192893401016,0.671115091804747,0.5431237675963112,3,2
knn,PR,MIX,minmax,2,6-distance-brute,test,0.9814814814814816,0.9763157894736842,0.961352657004831,0.978891820580475,0.8852167182662539,0.7507048631370837,3,3
knn,PR,MIX,minmax,3,6-distance-brute,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,3,6-distance-brute,validation,0.9496221662468514,0.9792207792207792,0.932367149758454,0.9641943734015346,0.644782803403493,0.3724402648713807,3,2
knn,PR,MIX,minmax,3,6-distance-brute,test,0.9465648854961832,0.9789473684210528,0.929951690821256,0.96248382923674,0.6806501547987616,0.4520574886050514,3,3
knn,PR,MIX,minmax,4,6-distance-brute,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,4,6-distance-brute,validation,0.9596977329974812,0.9921875,0.953995157384988,0.9756722151088348,0.7202316810344828,0.5832022030634864,3,2
knn,PR,MIX,minmax,4,6-distance-brute,test,0.9655172413793104,0.9578947368421052,0.929951690821256,0.9616908850726552,0.7877708978328173,0.5539066601724139,3,3
knn,PR,MIX,minmax,1,6-distance-kd_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,1,6-distance-kd_tree,validation,0.9671717171717172,0.9948051948051948,0.9637681159420288,0.9807938540332908,0.7732646663681146,0.6840045554030141,3,2
knn,PR,MIX,minmax,1,6-distance-kd_tree,test,0.9711286089238844,0.9736842105263158,0.9492753623188406,0.9724047306176083,0.825077399380805,0.6590654896299866,3,3
knn,PR,MIX,minmax,2,6-distance-kd_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,2,6-distance-kd_tree,validation,0.9528535980148884,0.9974025974025974,0.9516908212560388,0.9746192893401016,0.671115091804747,0.5431237675963112,3,2
knn,PR,MIX,minmax,2,6-distance-kd_tree,test,0.9814814814814816,0.9763157894736842,0.961352657004831,0.978891820580475,0.8852167182662539,0.7507048631370837,3,3
knn,PR,MIX,minmax,3,6-distance-kd_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,3,6-distance-kd_tree,validation,0.9496221662468514,0.9792207792207792,0.932367149758454,0.9641943734015346,0.644782803403493,0.3724402648713807,3,2
knn,PR,MIX,minmax,3,6-distance-kd_tree,test,0.9465648854961832,0.9789473684210528,0.929951690821256,0.96248382923674,0.6806501547987616,0.4520574886050514,3,3
knn,PR,MIX,minmax,4,6-distance-kd_tree,train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
knn,PR,MIX,minmax,4,6-distance-kd_tree,validation,0.9596977329974812,0.9921875,0.953995157384988,0.9756722151088348,0.7202316810344828,0.5832022030634864,3,2
knn,PR,MIX,minmax,4,6-distance-kd_tree,test,0.9655172413793104,0.9578947368421052,0.929951690821256,0.9616908850726552,0.7877708978328173,0.5539066601724139,3,3
knn,PR,MIX,minmax,1,6-uniform-auto,train,0.9802235597592434,0.9878682842287696,0.9701853344077356,0.9840310746655158,0.8617502340684078,0.7611393735584945,3,1
knn,PR,MIX,minmax,1,6-uniform-auto,validation,0.964735516372796,0.9948051948051948,0.961352657004831,0.979539641943734,0.7560232870577697,0.6585960390565059,3,2
knn,PR,MIX,minmax,1,6-uniform-auto,test,0.983739837398374,0.9552631578947368,0.9444444444444444,0.9692923898531376,0.8893962848297212,0.6869634266305976,3,3
knn,PR,MIX,minmax,2,6-uniform-auto,train,0.975298126064736,0.9922010398613518,0.9693795326349718,0.9836769759450172,0.8294338532640092,0.744370755878103,3,1
knn,PR,MIX,minmax,2,6-uniform-auto,validation,0.9597989949748744,0.9922077922077922,0.9541062801932368,0.9757343550447,0.7202418271383788,0.583253875684337,3,2
knn,PR,MIX,minmax,2,6-uniform-auto,test,0.9838709677419356,0.963157894736842,0.9516908212560388,0.973404255319149,0.893343653250774,0.7153808072563814,3,3
knn,PR,MIX,minmax,3,6-uniform-auto,train,0.977834612105712,0.9939341421143848,0.9734085414987912,0.98581865062312,0.8475417837008705,0.7798230891283146,3,1
knn,PR,MIX,minmax,3,6-uniform-auto,validation,0.9541984732824428,0.974025974025974,0.932367149758454,0.9640102827763496,0.67666815942678,0.4109715149192688,3,2
knn,PR,MIX,minmax,3,6-uniform-auto,test,0.961038961038961,0.9736842105263158,0.9396135265700484,0.9673202614379084,0.7662538699690403,0.5728327212511172,3,3
knn,PR,MIX,minmax,4,6-uniform-auto,train,0.971986417657046,0.9913419913419912,0.965378421900161,0.9815687955422204,0.8060158232572026,0.7065808537035264,3,1
knn,PR,MIX,minmax,4,6-uniform-auto,validation,0.959493670886076,0.9869791666666666,0.9491525423728814,0.9730423620025674,0.7176275143678161,0.5447203600420948,3,2
knn,PR,MIX,minmax,4,6-uniform-auto,test,0.9783783783783784,0.9526315789473684,0.9371980676328504,0.9653333333333334,0.8586687306501548,0.639039300801407,3,3
knn,PR,MIX,minmax,1,6-uniform-ball_tree,train,0.9802235597592434,0.9878682842287696,0.9701853344077356,0.9840310746655158,0.8617502340684078,0.7611393735584945,3,1
knn,PR,MIX,minmax,1,6-uniform-ball_tree,validation,0.964735516372796,0.9948051948051948,0.961352657004831,0.979539641943734,0.7560232870577697,0.6585960390565059,3,2
knn,PR,MIX,minmax,1,6-uniform-ball_tree,test,0.983739837398374,0.9552631578947368,0.9444444444444444,0.9692923898531376,0.8893962848297212,0.6869634266305976,3,3
knn,PR,MIX,minmax,2,6-uniform-ball_tree,train,0.975298126064736,0.9922010398613518,0.9693795326349718,0.9836769759450172,0.8294338532640092,0.744370755878103,3,1
knn,PR,MIX,minmax,2,6-uniform-ball_tree,validation,0.9597989949748744,0.9922077922077922,0.9541062801932368,0.9757343550447,0.7202418271383788,0.583253875684337,3,2
knn,PR,MIX,minmax,2,6-uniform-ball_tree,test,0.9838709677419356,0.963157894736842,0.9516908212560388,0.973404255319149,0.893343653250774,0.7153808072563814,3,3
knn,PR,MIX,minmax,3,6-uniform-ball_tree,train,0.977834612105712,0.9939341421143848,0.9734085414987912,0.98581865062312,0.8475417837008705,0.7798230891283146,3,1
knn,PR,MIX,minmax,3,6-uniform-ball_tree,validation,0.9541984732824428,0.974025974025974,0.932367149758454,0.9640102827763496,0.67666815942678,0.4109715149192688,3,2
knn,PR,MIX,minmax,3,6-uniform-ball_tree,test,0.961038961038961,0.9736842105263158,0.9396135265700484,0.9673202614379084,0.7662538699690403,0.5728327212511172,3,3
knn,PR,MIX,minmax,4,6-uniform-ball_tree,train,0.971986417657046,0.9913419913419912,0.965378421900161,0.9815687955422204,0.8060158232572026,0.7065808537035264,3,1
knn,PR,MIX,minmax,4,6-uniform-ball_tree,validation,0.959493670886076,0.9869791666666666,0.9491525423728814,0.9730423620025674,0.7176275143678161,0.5447203600420948,3,2
knn,PR,MIX,minmax,4,6-uniform-ball_tree,test,0.9783783783783784,0.9526315789473684,0.9371980676328504,0.9653333333333334,0.8586687306501548,0.639039300801407,3,3
knn,PR,MIX,minmax,1,6-uniform-brute,train,0.9802235597592434,0.9878682842287696,0.9701853344077356,0.9840310746655158,0.8617502340684078,0.7611393735584945,3,1
knn,PR,MIX,minmax,1,6-uniform-brute,validation,0.964735516372796,0.9948051948051948,0.961352657004831,0.979539641943734,0.7560232870577697,0.6585960390565059,3,2
knn,PR,MIX,minmax,1,6-uniform-brute,test,0.983739837398374,0.9552631578947368,0.9444444444444444,0.9692923898531376,0.8893962848297212,0.6869634266305976,3,3
knn,PR,MIX,minmax,2,6-uniform-brute,train,0.975298126064736,0.9922010398613518,0.9693795326349718,0.9836769759450172,0.8294338532640092,0.744370755878103,3,1
knn,PR,MIX,minmax,2,6-uniform-brute,validation,0.9597989949748744,0.9922077922077922,0.9541062801932368,0.9757343550447,0.7202418271383788,0.583253875684337,3,2
knn,PR,MIX,minmax,2,6-uniform-brute,test,0.9838709677419356,0.963157894736842,0.9516908212560388,0.973404255319149,0.893343653250774,0.7153808072563814,3,3
